source,project,l,b,v,dv,1612,+,-,1665,+,-,1667,+,-,1720,+,-
SRC44,a3301,68.83,-3.49,6.17,0.8,-30.52,88,-19.61,3,0.93,-0.6,2.63,0.87,-0.52,1.38,0.26,-0.21
SRC44,a3301,68.83,-3.49,6.28,2.5,9.72,1.94,-1.5,19.43,2.8,-2.15,12.61,1.18,-1.3,33.05,3.19,-3.12
SRC44,a3301,68.83,-3.49,11.08,0.72,2.48,10.79,-1.15,-0.56,1.63,-0.34,-0.44,1.35,-0.2,-0.23,1.02,-0.12
SRC44,a3301,68.83,-3.49,11.2,1.29,-9.2,28.2,-7.05,0.86,0.21,-0.15,0.64,0.2,-0.13,0.36,0.04,-0.05
3C417,a2600,73.33,-5.45,9.51,0.88,7.94,5.14,-2.15,4.3,0.27,-0.24,5.27,0.29,-0.26,3.43,0.26,-0.25
3C417,a2600,73.33,-5.45,9.92,0.63,1.1,0.08,-0.08,3.75,0.13,-0.13,3.91,0.12,-0.13,-2.92,0.38,-0.4
3C417,a2600,73.33,-5.45,10.68,2.91,2.98,0.25,-0.22,8.57,0.51,-0.47,7.13,0.22,-0.2,-15.18,2.68,-4.23
3C092,a2600,159.74,-18.41,8.71,1.56,4.59,0.71,-0.54,13.97,1.53,-1.41,14.54,1.35,-0.93,-14.68,2.65,-4.11
3C092,a2600,159.74,-18.41,8.77,0.76,2.62,0.27,-0.23,3.19,0.18,-0.2,3.84,0.2,-0.22,5.05,0.04,-0.12
4C+28.11,a2769,166.06,-17.22,6.91,1.1,2.89,0.34,-0.29,6.72,0.41,-0.41,6.93,0.26,-0.25,-24.55,8.49,-27.01
PKS0319+12,a2769,170.59,-36.24,7.73,1.01,1.91,0.77,-0.62,4.63,1.44,-1.29,5.75,1.66,-1.46,-8.89,4.1,-8.15
3C131,a2600,171.44,-7.8,4.56,0.48,3.93,2,-1.13,4.53,0.37,-0.36,4.29,0.35,-0.28,4.98,2.21,-0.95
3C131,a2600,171.44,-7.8,5.71,3.21,3.02,0.33,-0.26,8.83,0.46,-0.43,9.25,0.4,-0.35,-10.47,1.77,-2.94
3C131,a2600,171.44,-7.8,6.59,0.44,4.29,1.02,-0.66,3.77,0.16,-0.16,4.29,0.17,-0.17,3.79,0.3,-0.31
3C131,a2600,171.44,-7.8,7.23,0.56,3.69,0.18,-0.17,4.49,0.07,-0.07,4.89,0.07,-0.06,6.27,0.26,-0.23
3C131,a2600,171.44,-7.8,7.48,1.93,0.79,0.07,-0.06,3.33,0.28,-0.26,3.9,0.29,-0.27,-1.54,0.11,-0.13
3C131,a2600,171.44,-7.8,7.79,0.57,8.26,4.94,-26.7,-1.93,0.38,-0.55,-2.9,0.66,-0.89,-1.05,0.06,-0.02
3C108,a3301,171.47,-20.7,9.42,1.19,4.07,0.4,-0.34,5.6,0.29,-0.3,9.72,0.48,-0.46,23.62,4.42,-3.64
3C108,a3301,171.47,-20.7,9.74,0.48,0.85,0.25,-0.27,2.06,0.59,-0.56,2.88,0.73,-0.74,-3.4,1.41,-1.25
